ltr	sg	age
ctg_263708:14834580-14840043:14834850-14839767	non-specific	0.8469275569178853
ctg_263708:15027329-15038635:15029253-15036694	non-specific	1.2136377814011858
ctg_263708:15047281-15055712:15048604-15054398	SG2	0.7638714591229994
ctg_263708:15088381-15102382:15089518-15101244	SG2	0.134930467820509
ctg_263708:15119828-15130693:15122037-15128484	SG2	-0.0
ctg_263708:15146036-15159174:15146827-15158383	SG2	0.29379879976054074
ctg_263708:15245902-15251514:15246372-15251045	non-specific	0.16199246497025863
ctg_263708:15252494-15258700:15252833-15258356	SG2	4.319371352825048
ctg_263708:15370898-15380895:15372491-15379303	SG2	0.2666129240461311
ctg_263708:15820448-15835098:15822020-15833526	SG2	0.07316964380760424
ctg_263708:16008603-16021923:16012328-16018198	SG2	0.061604196069849515
ctg_263708:16050860-16056560:16051245-16056179	non-specific	1.3261769108639607
ctg_263708:16154108-16159995:16154376-16159727	non-specific	0.14265987672156893
ctg_263708:16214652-16219868:16215013-16219503	non-specific	0.531795062183223
ctg_263708:16240402-16253822:16240935-16253289	SG2	0.28991353423561544
ctg_263708:16548133-16555341:16548311-16555159	non-specific	2.6403076301630115
ctg_263708:16734238-16745207:16737895-16741545	SG2	0.20069655483169685
ctg_263708:16831768-16836535:16832019-16836269	non-specific	5.893897992508324
ctg_263708:16846421-16851393:16846585-16851219	non-specific	2.284255323952513
ctg_263708:16907047-16919551:16909154-16917448	SG2	0.14652535797976557
ctg_263708:16998386-17007717:16999710-17006388	SG2	0.6417002580957649
ctg_263708:17187892-17192615:17188113-17192399	non-specific	1.9695819448065686
ctg_263708:17268801-17278189:17270501-17276483	non-specific	0.5239606911828192
ctg_263708:17300586-17314843:17301804-17313629	SG2	0.4769990953874894
ctg_263708:17408069-17418929:17408203-17418790	SG2	5.09359852404487
ctg_263708:17445674-17460449:17445791-17460329	SG2	7.594365646297758
ctg_263708:17689407-17695082:17689684-17694805	non-specific	0.1387949133814062
ctg_263708:17736923-17751181:17738157-17749948	SG2	0.6928703608909715
ctg_263708:17806146-17819346:17806938-17818554	SG2	0.340462849590904
ctg_263708:17821461-17834601:17822255-17833810	SG2	0.28991353423561544
ctg_263708:18111739-18126615:18113080-18125275	SG2	0.28991353423561544
ctg_263708:18292156-18297487:18292265-18297373	non-specific	3.1806171420443463
ctg_263708:18329855-18338165:18330181-18337844	SG2	1.5728822890779415
ctg_263708:18407334-18416498:18409410-18414422	SG2	0.223943960129828
ctg_263708:18437526-18446567:18438493-18445596	SG2	1.3785768414331312
ctg_263708:18517960-18535275:18522413-18530825	SG2	0.3287897582414224
ctg_263708:18721725-18735239:18725551-18731416	SG2	0.6417002580957649
ctg_263708:18882921-18888491:18883316-18888104	non-specific	2.2218762456985277
ctg_263708:19230065-19240419:19232024-19238457	SG2	0.5945467472343562
ctg_263708:19356805-19362747:19357143-19362409	non-specific	0.340462849590904
ctg_263708:19385018-19399761:19386339-19398437	SG2	0.7638714591229994
ctg_263708:19482946-19487961:19483075-19487833	non-specific	0.598473263791998
ctg_263708:19539856-19546306:19540834-19545324	non-specific	0.27437770305563713
ctg_263708:19587019-19602097:19587917-19601189	SG2	0.9461166851361394
ctg_263708:19633652-19644996:19634206-19644446	non-specific	1.9325442930080299
ctg_263708:19798672-19803245:19799116-19802792	SG2	1.2096266357580439
ctg_263708:19863775-19869575:19864088-19869265	non-specific	1.2497632136069357
ctg_263708:19899820-19904957:19900202-19904575	non-specific	0.20069655483169685
ctg_263708:20106743-20120072:20107404-20119415	SG2	1.1855714678488216
ctg_263708:20202428-20207350:20202567-20207211	non-specific	0.8350477487276731
ctg_263708:20208743-20215467:20209351-20214866	non-specific	1.2256745659890034
ctg_263708:20233840-20235252:20233948-20235143	non-specific	1.069586776194829
ctg_263708:20241947-20246745:20242712-20245970	SG2	0.9580423328686631
ctg_263708:20256833-20269712:20257734-20268816	non-specific	1.5322939133844597
ctg_263708:20329138-20338739:20329717-20338162	non-specific	1.149526286537334
ctg_263708:20358279-20371168:20358417-20371030	non-specific	1.418949351656875
ctg_263708:20427119-20435286:20429206-20433199	SG2	0.8429670772183607
ctg_263708:20448729-20459274:20449008-20458998	non-specific	2.8858082936603773
ctg_263708:20491989-20497229:20492396-20496821	non-specific	0.47308907791675536
ctg_263708:20519837-20526139:20520092-20525887	non-specific	1.5444644306226525
ctg_263708:20540148-20549866:20540467-20549549	non-specific	1.6053941593509975
ctg_263708:20675532-20680573:20675636-20680469	non-specific	0.7401850032858924
ctg_263708:20756004-20763303:20756944-20762359	non-specific	0.9938488866167142
ctg_263708:20956392-20961627:20957007-20961011	non-specific	3.862858199603861
ctg_263708:21206165-21212683:21206538-21212312	non-specific	2.468016010432119
ctg_263708:21331719-21337261:21332481-21336497	SG2	0.6613703262607122
ctg_263708:21427761-21430000:21428224-21429534	non-specific	1.0057942883387205
ctg_263708:21538499-21545776:21539142-21545136	SG2	0.48090964292226934
ctg_263708:21575790-21582278:21576815-21581252	non-specific	0.340462849590904
ctg_263708:21596224-21604750:21596497-21604475	SG2	2.775497819475661
ctg_263708:21668506-21684016:21674582-21677941	SG2	0.02693564884877833
ctg_263708:21813757-21822624:21814666-21821710	SG2	1.6420138672967632
ctg_263708:21825703-21839508:21826873-21838337	SG2	1.342289830621638
ctg_263708:21954526-21970981:21957134-21968365	non-specific	0.19295158127298032
ctg_196132:117302-128688:118316-127674	SG2	1.3584117557841477
ctg_196132:141077-150039:141982-149135	SG2	1.3906826626275859
ctg_196132:209671-218164:210468-217361	SG2	1.021729189363282
ctg_196132:230654-236441:231070-236024	non-specific	1.2216617463614496
ctg_196132:354029-365173:354497-364695	SG2	2.9581631254556022
ctg_196132:365992-379629:366494-379122	non-specific	2.039671969340038
ctg_196132:459639-468640:460043-468241	SG2	1.161536343131397
ctg_196132:528616-537918:529618-536912	SG2	0.9302234870227112
ctg_196132:541184-553994:543091-552091	SG2	1.0257142904052143
ctg_196132:585757-591512:585913-591347	non-specific	5.0523274917102174
ctg_196132:645125-650302:645227-650200	non-specific	-0.0
ctg_196132:660154-664362:660265-664260	non-specific	3.6569229084956603
ctg_196132:795415-805001:797329-803083	SG2	0.8548501479718482
ctg_196132:810658-817892:811672-816882	non-specific	0.45745430580167235
ctg_196132:844405-852378:844733-852051	SG2	1.9325442930080299
ctg_196132:868217-869953:868560-869618	non-specific	1.965464300970278
ctg_196132:928126-937376:930420-935085	SG2	0.7125753646261098
ctg_196132:958581-962947:958908-962611	SG2	2.0066672130550756
ctg_196132:1054882-1059680:1055650-1058914	SG2	1.0177446387876807
ctg_196132:1134022-1140296:1134937-1139379	non-specific	0.42230702133216697
ctg_196132:1202165-1208863:1203061-1207968	non-specific	0.6495666758827615
ctg_196132:1231686-1236144:1232139-1235695	non-specific	1.3866468243774
ctg_196132:1237997-1244269:1238914-1243354	non-specific	0.46527063259279744
ctg_196132:1425217-1433145:1425623-1432737	SG2	1.7439798760706002
ctg_196132:1440004-1446956:1440446-1446522	SG1	2.8263579334674134
ctg_196132:1455882-1460697:1456508-1460063	non-specific	1.0496364649727723
ctg_196132:1487030-1491016:1487497-1490535	non-specific	2.151342644876983
ctg_196132:1532819-1539422:1533618-1538617	non-specific	1.021729189363282
ctg_196132:1653441-1659050:1654269-1658210	non-specific	1.117523893743187
ctg_196132:1806867-1817607:1808594-1815883	SG2	1.6257327020014718
ctg_196132:1884217-1892562:1884466-1892307	SG2	3.005077853370192
ctg_196132:1905558-1911558:1906047-1911054	non-specific	2.052058495192492
ctg_196132:1919177-1924296:1919335-1924138	non-specific	0.48873232875900063
ctg_196132:1991875-1995955:1992555-1995276	SG1	1.8668167707603265
ctg_196132:2064991-2074028:2065652-2073370	non-specific	0.8231728310246789
ctg_196132:2181220-2189265:2181549-2188935	non-specific	3.713736804597849
ctg_196132:2241678-2256327:2241923-2256082	SG2	1.9407707735560562
ctg_196132:2260384-2274507:2260566-2274335	non-specific	3.5740879807084776
ctg_196132:2320828-2326297:2321096-2326027	non-specific	1.9078789184003349
ctg_196132:2327295-2331556:2327594-2331252	non-specific	3.339952874818571
ctg_196132:2339173-2346581:2340815-2344939	non-specific	0.0693139793166469
ctg_196132:2380945-2387244:2381561-2386641	non-specific	2.472206024797261
ctg_196132:2460313-2474656:2460763-2474202	non-specific	0.9461166851361394
ctg_196132:2479240-2483142:2479603-2482776	SG2	5.402708608284013
ctg_196132:2486172-2492379:2487623-2490939	non-specific	1.7480660229498888
ctg_196132:2503346-2510492:2504048-2509794	non-specific	2.039671969340038
ctg_196132:2517678-2524783:2518998-2523472	non-specific	0.41060077003340467
ctg_196132:2541635-2555999:2544551-2553083	SG2	0.08088251921348824
ctg_196132:2578417-2591261:2578909-2590761	SG2	1.6583042270950328
ctg_196132:2599563-2603138:2600040-2602674	non-specific	3.2321972252487368
ctg_196132:2616119-2625035:2618000-2623147	non-specific	0.6574352394465952
ctg_196132:2740522-2746613:2740860-2746282	non-specific	2.7331827849753085
ctg_196132:2875227-2883024:2876775-2881472	non-specific	0.17359824016047498
ctg_196132:2888199-2889964:2888436-2889736	non-specific	3.977414635482299
ctg_196132:2903905-2908694:2904690-2907909	non-specific	0.894495775221492
ctg_196132:2925123-2929872:2925877-2929114	SG2	1.241731429106717
ctg_196132:2933210-2940180:2933587-2939800	SG2	5.917497890614467
ctg_196132:2946898-2952087:2947346-2951636	non-specific	2.0272907599735595
ctg_196132:2975556-2980049:2975754-2979849	SG2	3.6700238793572018
ctg_196132:2980909-2987527:2981817-2986611	non-specific	1.3302042970968377
ctg_196132:3089178-3092985:3089420-3092730	non-specific	4.724267870405087
ctg_196132:3109755-3116504:3110333-3115936	non-specific	2.568744716351276
ctg_196132:3158745-3166339:3160225-3164858	non-specific	0.10403352675322017
ctg_196132:3185292-3191675:3186204-3190764	non-specific	1.161536343131397
ctg_196132:3220505-3234945:3221972-3233478	SG2	0.8786309851358209
ctg_196132:3260350-3266382:3261156-3265576	non-specific	1.117523893743187
ctg_196132:3307435-3316042:3307981-3315476	SG2	3.9950791515555295
ctg_196132:3477409-3481227:3477914-3480725	non-specific	2.047929062239169
ctg_196132:3510378-3517281:3511397-3516258	non-specific	1.2256745659890034
ctg_196132:3553107-3559809:3554164-3558754	non-specific	0.8469275569178853
ctg_196132:3606240-3611056:3607023-3610273	SG2	0.14652535797976557
ctg_196132:3625199-3633013:3625468-3632738	non-specific	3.871654099609854
ctg_196132:3634172-3640544:3634879-3639845	non-specific	1.6216638461027446
ctg_196132:3649443-3657076:3651551-3654972	non-specific	1.3624436453491924
ctg_196132:3660792-3666979:3660974-3666789	non-specific	2.522533726739726
ctg_196132:3777644-3784323:3778297-3783676	non-specific	2.5813605721596975
ctg_196132:3793904-3798541:3794339-3798098	non-specific	1.418949351656875
ctg_196132:3812373-3816223:3812545-3816052	non-specific	1.6013281710651552
ctg_196132:3834967-3838817:3835139-3838646	non-specific	1.6013281710651552
ctg_196132:3950624-3955717:3950926-3955423	non-specific	2.7966786368206855
ctg_196132:3995046-4003630:3995149-4003527	non-specific	-0.0
ctg_196132:4063840-4069507:4064334-4069003	non-specific	2.1347715378027625
ctg_196132:4209153-4213428:4209372-4213197	SG2	2.2384974814486007
ctg_196132:4243245-4255506:4243684-4255057	SG2	1.2216617463614496
ctg_196132:4376916-4384711:4377469-4384159	non-specific	0.6299046521877232
ctg_196132:4386625-4397655:4387738-4396546	SG2	1.1975965443153918
ctg_196132:4400646-4406800:4401009-4406430	SG2	1.5972627558169203
ctg_196132:4410510-4416744:4410717-4416522	SG2	4.0702742589807785
ctg_196132:4430674-4437626:4430939-4437361	non-specific	1.0296999420656003
ctg_196132:4492162-4497660:4492440-4497379	non-specific	2.71627413628123
ctg_196132:4574971-4588635:4575728-4587871	SG2	2.0314172393234373
ctg_196132:4602540-4607531:4603403-4606668	SG2	0.6771160438165997
ctg_196132:4634288-4640846:4634730-4640394	SG2	1.4796142611793404
ctg_196132:4680663-4687604:4681244-4687020	non-specific	0.6653059499582152
ctg_196132:4775511-4780334:4776288-4779547	SG2	0.9938488866167142
ctg_196132:4874497-4879917:4874615-4879797	non-specific	3.3658742369158396
ctg_196132:4946039-4954257:4947151-4953145	SG2	1.4149095569795733
ctg_196132:5173738-5178998:5173852-5178884	non-specific	1.7235578193973247
ctg_196132:5311044-5325787:5312642-5324195	SG2	0.1697291295858059
ctg_196132:5616434-5630438:5617688-5629184	SG2	0.9024314434548012
ctg_196132:5814459-5827186:5814948-5826692	SG2	1.1895792697095442
ctg_196132:5864378-5874003:5864649-5873723	non-specific	3.0264279793142275
ctg_196132:5887769-5900244:5888059-5899959	SG2	3.9597609300070955
ctg_196132:5982094-5994420:5984574-5991946	SG2	0.37551049272990805
ctg_196132:6043499-6057563:6044495-6056577	SG2	0.6653059499582152
ctg_196132:6075676-6083289:6076287-6082683	SG2	1.2176494848839226
ctg_196132:6126720-6132206:6126997-6131929	non-specific	2.9070702934776835
ctg_196132:6185944-6194238:6186052-6194132	SG2	2.5813605721596975
ctg_196132:6201772-6211453:6202435-6210796	non-specific	1.8545095158572154
ctg_196132:6252079-6257263:6252510-6256830	non-specific	0.4457337853535112
ctg_196132:6277475-6290792:6277594-6290676	SG2	8.083936827541805
ctg_196132:6540536-6554074:6541301-6553311	SG2	1.1775575342381297
ctg_196132:6556367-6564124:6556927-6563570	SG2	1.4068316645027683
ctg_196132:6570312-6577249:6570416-6577139	non-specific	6.591091085792446
ctg_196132:6585796-6591034:6586199-6590629	non-specific	0.8667381159316337
ctg_196132:6639420-6652021:6642479-6648963	non-specific	0.10017373497036537
ctg_196132:6757382-6770305:6759090-6768585	SG2	1.491762567884968
ctg_196132:6798957-6809257:6800860-6807356	SG2	0.48873232875900063
ctg_196132:6950228-6957976:6951058-6957153	SG2	1.2778920835551908
ctg_196132:6997404-7000007:6997855-6999559	non-specific	4.008334641034166
ctg_196132:7046734-7052475:7047049-7052157	non-specific	0.7322938381850704
ctg_196132:7086621-7097451:7088058-7096018	non-specific	1.1735514021788922
ctg_196132:7106001-7119091:7110611-7114472	SG2	0.6731788085895595
ctg_196132:7262196-7272342:7262384-7272146	non-specific	3.7487549015795834
ctg_196132:7286344-7300460:7287110-7299697	SG2	0.815258934172256
ctg_196132:7357312-7372273:7358996-7370593	SG2	1.1415223592256711
ctg_196132:7403436-7408982:7403778-7408630	non-specific	4.724267870405087
ctg_196132:7457878-7468638:7459424-7467093	SG2	1.0895508948172725
ctg_196132:7481944-7489131:7482142-7488940	non-specific	6.960793902169639
ctg_196132:7541409-7547122:7541713-7546827	non-specific	4.494129168882681
ctg_196132:7613817-7625207:7616246-7622776	non-specific	0.3833046440462105
ctg_196132:7632963-7640677:7633141-7640492	non-specific	3.7487549015795834
ctg_196132:7662073-7670997:7663788-7669282	SG2	0.7480783276876277
ctg_196132:7731040-7745874:7732393-7744520	SG2	0.6889309749038077
ctg_196132:7752544-7758396:7752658-7758282	non-specific	-0.0
ctg_196132:7855668-7859819:7855796-7859687	non-specific	3.6962436846887026
ctg_196132:7904152-7909509:7904261-7909408	non-specific	4.947124562376093
ctg_196132:7918661-7922954:7918776-7922838	non-specific	0.3287897582414224
ctg_196132:7975866-7986418:7978058-7984216	SG2	0.45745430580167235
ctg_196132:8007385-8015397:8007491-8015285	SG2	6.035787869573603
ctg_196132:8045300-8055357:8046757-8053907	SG2	0.882596364734642
ctg_196132:8107526-8121961:8109009-8120483	SG2	0.4457337853535112
ctg_196132:8141365-8156110:8142693-8154782	SG2	0.6141846769506408
ctg_196132:8180346-8185547:8180603-8185290	non-specific	-0.0
ctg_196132:8287765-8296885:8288221-8296430	non-specific	0.8548501479718482
ctg_196132:8322256-8329489:8322357-8329382	SG2	8.180813087057414
ctg_196132:8526743-8539794:8527075-8539458	SG2	0.9262515553336644
ctg_196132:8554137-8568244:8559706-8562677	SG2	0.22782034982136337
ctg_196132:8573761-8583155:8575462-8581460	non-specific	0.38720250958098057
ctg_196132:8724838-8730325:8725060-8730099	non-specific	1.2096266357580439
ctg_196132:8758201-8766063:8759217-8765051	SG2	1.435114190323745
ctg_196132:8815702-8829877:8819015-8826556	non-specific	0.11561600185208139
ctg_196132:8831394-8839907:8831517-8839800	SG2	8.607866417733355
ctg_196132:8877991-8884220:8878788-8883432	SG2	1.6379427143937846
ctg_196132:8911337-8922430:8913040-8920725	non-specific	0.4301138289159877
ctg_196132:8958731-8967307:8960375-8965664	SG2	1.3906826626275859
ctg_196132:8975197-8982487:8975636-8982056	SG2	2.847576142475703
ctg_196132:8985056-8992765:8985606-8992219	SG2	0.7796732419592127
ctg_196132:9027565-9038249:9028936-9036867	non-specific	0.4769990953874894
ctg_196132:9050016-9051201:9050142-9051064	non-specific	8.722129329940296
ctg_196132:9063289-9068163:9063418-9068025	non-specific	3.8408801765626492
ctg_196132:9082631-9090405:9083577-9089468	non-specific	1.4149095569795733
ctg_196132:9101804-9110671:9103416-9109045	SG2	1.1095288399652459
ctg_196132:9122681-9131185:9124346-9129511	non-specific	0.7678210933930363
ctg_196132:9131304-9135003:9131471-9134840	SG2	7.845684136548559
ctg_196132:9136594-9143982:9136716-9143860	non-specific	5.121145386408386
ctg_196132:9165704-9169924:9166184-9169442	non-specific	2.9326053973990436
ctg_196132:9173523-9180568:9173744-9180346	non-specific	0.8746661505689095
ctg_196132:9188843-9200315:9189109-9200041	SG2	6.746178307995733
ctg_196132:9214086-9227411:9214579-9226913	SG2	1.994300158697949
ctg_196132:9229875-9241381:9232104-9239152	SG2	1.1775575342381297
ctg_196132:9249046-9255215:9250311-9253961	SG2	1.6909125717811102
ctg_196132:9258710-9270732:9259457-9269982	non-specific	1.7398943079246656
ctg_196132:9353048-9361438:9354313-9360173	SG2	0.48873232875900063
ctg_196132:9387446-9395785:9387696-9395534	SG2	3.0563447279655658
ctg_196132:9433909-9439505:9435381-9438031	non-specific	0.7678210933930363
ctg_196132:9457415-9464882:9457909-9464398	SG2	1.2698524642595177
ctg_196132:9468828-9477828:9469054-9477598	SG2	2.430333243680513
ctg_196132:9525766-9539192:9526382-9538590	SG2	2.1347715378027625
ctg_196132:9602936-9614869:9603497-9614306	SG2	0.9699729129709662
ctg_196132:9649032-9657786:9649747-9657065	SG2	0.9183093323082266
ctg_196132:9672846-9679830:9673263-9679417	SG2	1.2216617463614496
ctg_196132:9717215-9724769:9717606-9724381	SG2	3.103419538844349
ctg_196132:9737346-9743370:9737757-9742961	SG1	2.535129383957315
ctg_196132:9765829-9777701:9767168-9776363	SG2	1.0536254235418236
ctg_196132:9786212-9799710:9786866-9799056	SG2	2.130630248032366
ctg_196132:9801331-9814827:9801855-9814308	SG2	1.7358093183481726
ctg_196132:9828815-9836441:9829502-9835753	SG2	1.2537799446370426
ctg_196132:9864495-9870206:9864766-9869929	SG2	7.549359936446197
ctg_196132:9895633-9908120:9899494-9904268	SG2	0.6849921268269392
ctg_196132:9985059-9992731:9985747-9992044	SG2	1.1375212282328975
ctg_196132:10107549-10117540:10108881-10116204	SG2	1.1135260898637163
ctg_196132:10121919-10125911:10122049-10125783	non-specific	2.451262036477096
ctg_196132:10142444-10149925:10143350-10149017	non-specific	0.340462849590904
ctg_196132:10172298-10180919:10173932-10179286	SG2	0.5474701903212361
ctg_196132:10201345-10209612:10202611-10208361	SG2	1.1455240452758078
ctg_196132:10215657-10221847:10216730-10220774	non-specific	0.7244048312040926
ctg_196132:10230329-10238445:10230506-10238277	SG2	4.176766872208652
ctg_196132:10243787-10252415:10244305-10251893	SG2	1.7439798760706002
ctg_196132:10315850-10322630:10316491-10321989	SG2	0.3015709010728553
ctg_196132:10351903-10359485:10352301-10359088	SG2	1.3826115506985592
ctg_196132:10373458-10376925:10373884-10376495	non-specific	1.8422075096236434
ctg_196132:10388860-10394517:10389021-10394357	SG2	4.906062414736086
ctg_196132:10395918-10404832:10396823-10403916	non-specific	0.5513903036446778
ctg_196132:10460184-10468859:10460709-10468324	SG2	2.1596317696024525
ctg_196132:10469810-10479697:10470867-10478643	SG2	1.6053941593509975
ctg_196132:10501998-10512635:10503915-10510716	SG2	1.3100729864562282
ctg_196132:10535600-10542333:10536240-10541693	SG2	0.42230702133216697
ctg_196132:10555317-10564869:10555645-10564546	non-specific	2.949641366502591
ctg_196132:10575962-10582551:10576375-10582135	SG2	0.9381689915065402
ctg_196132:10591426-10598492:10591798-10598122	SG2	1.374542696423242
ctg_196132:10647519-10661322:10648643-10660194	SG2	1.2537799446370426
ctg_196132:10671486-10679174:10672450-10678207	non-specific	0.7244048312040926
ctg_196132:10688806-10697101:10690372-10695548	SG2	1.5647600438191087
ctg_196132:10739523-10747243:10740128-10746640	SG2	1.165540806779967
ctg_196132:10748255-10756081:10748791-10755545	SG2	4.992817830042482
ctg_196132:10762197-10770598:10762686-10770108	SG2	1.776685269422338
ctg_196132:10784183-10796939:10785036-10796085	SG2	1.953114894925296
ctg_196132:10798997-10805414:10799880-10804526	non-specific	0.9222801704790162
ctg_196132:10813992-10822134:10814412-10821717	SG2	2.3801660069556987
ctg_196132:10849344-10860053:10850906-10858492	SG2	1.0536254235418236
ctg_196132:10879887-10894719:10881232-10893375	SG2	0.8707018608840952
ctg_196132:10919906-10930186:10920580-10929511	SG2	1.821715817459672
ctg_196132:10939278-10949069:10940514-10947843	SG2	1.4674710684737466
ctg_196132:10989407-10998985:10990099-10998297	SG2	0.7322938381850704
ctg_196132:11001249-11010213:11002467-11008996	SG2	1.1935876284801397
ctg_196132:11016457-11028089:11020566-11023989	SG2	0.4535469364972013
ctg_196132:11028095-11042032:11029340-11040787	SG2	1.165540806779967
ctg_196132:11046091-11058700:11047406-11057392	SG2	1.3140981247933463
ctg_196132:11065193-11070206:11066003-11069389	non-specific	2.097521316023236
ctg_196132:11089015-11103482:11090296-11102207	SG2	1.1935876284801397
ctg_196132:11125672-11136923:11126264-11136321	SG2	2.463826604594213
ctg_196132:11181347-11192591:11182651-11191281	SG2	0.894495775221492
ctg_196132:11224032-11237753:11225152-11236629	SG2	1.6542307745928706
ctg_196132:11247752-11256487:11249649-11254583	non-specific	0.6338359849156006
ctg_196132:11293563-11301706:11294097-11301168	SG2	0.6495666758827615
ctg_196132:11304635-11313151:11306055-11311726	SG2	1.241731429106717
ctg_196132:11314812-11325732:11315165-11325383	SG2	4.453706369801415
ctg_196132:11333459-11341758:11334788-11340429	SG2	0.7599223655654448
ctg_196132:11357694-11365833:11358926-11364595	non-specific	2.060319134952879
ctg_196132:11389109-11402346:11389530-11401918	SG2	1.6623782549029735
ctg_196132:11436473-11449902:11436950-11449427	SG2	0.7322938381850704
ctg_196132:11500861-11515014:11501324-11514547	SG2	0.8350477487276731
ctg_196132:11578557-11585953:11580330-11584177	SG2	0.34824753560392063
ctg_196132:11655479-11665040:11656077-11664441	non-specific	3.3961452953752396
ctg_196132:11669938-11680320:11671132-11679131	non-specific	0.6849921268269392
ctg_196132:11696771-11710192:11697716-11709248	SG2	0.286028791943548
ctg_196132:11711939-11717230:11712045-11717116	non-specific	2.8093945964033447
ctg_196132:11950155-11958523:11951414-11957262	SG2	0.46136220445238946
ctg_196132:11972715-11986036:11973917-11984823	non-specific	1.5972627558169203
ctg_196132:12144865-12156083:12145127-12155820	non-specific	1.342289830621638
ctg_196132:12162321-12172728:12164341-12170707	SG2	0.46136220445238946
ctg_196132:12294268-12308954:12295747-12307474	SG2	0.23557469229982012
ctg_196132:12371851-12377648:12372141-12377359	non-specific	0.6692421106856435
ctg_196132:12409840-12421487:12413020-12418310	SG2	0.158124910651111
ctg_196132:12439983-12450080:12440890-12449173	SG2	1.5647600438191087
ctg_196132:12532890-12542421:12533732-12541579	SG2	0.787577380615641
ctg_196132:12554147-12559158:12554295-12559011	non-specific	2.7035991508647825
ctg_196132:12573651-12579399:12573876-12579171	non-specific	1.0257142904052143
