gene	svirid	achine	agerar	agerjg	avirgi	bdista	blagur	ccitra	crefra	cserru	etrips	hcompr	hconto	irugos	ppanic	rrottb	sbicol	smicro	sscopa	tdacn1	tdacn2	tdacs1	tdacs2	tdactm	telega	ttrian	tzopol	udigit	vcuspi	zTIL01	zTIL11	zTIL18	zTIL25	zdgigi	zdmomo	zluxur	zmB735	zmhuet	znicar	atenui	rtuber	eophiu	osativ	snutan	pprate
Pavag01G003400.1.v3.1	1	2	5	5	1	1	5	3	1	2	2	6	4	1	1	2	1	1	0	1	1	1	1	3	2	1	3	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	0
Pavag01G003600.1.v3.1	1	2	4	4	1	1	4	3	1	2	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0
Pavag01G003700.1.v3.1	1	2	5	5	1	1	6	3	1	2	1	6	4	1	1	1	1	1	0	1	1	1	1	3	1	2	3	2	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	0
Pavag01G003900.1.v3.1	0	2	4	6	1	1	5	3	1	2	0	6	0	1	1	2	1	1	0	1	1	1	1	2	2	2	1	2	2	1	1	1	1	0	0	1	1	1	1	3	1	1	1	0	0
Pavag01G004000.1.v3.1	0	0	0	0	0	1	6	0	0	2	0	0	0	0	1	0	0	1	0	1	1	1	1	2	2	0	3	3	2	1	1	1	0	2	1	1	1	0	1	0	0	1	1	0	0
Pavag01G004100.1.v3.1	1	2	5	6	1	1	6	3	0	0	0	1	4	0	1	2	1	1	0	1	1	1	1	2	2	2	1	3	1	0	1	1	1	2	1	0	0	1	1	3	1	0	1	0	5
Pavag01G004300.1.v3.1	1	2	5	6	1	0	6	3	1	2	3	6	4	1	1	2	1	1	0	2	2	2	2	5	2	1	1	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	0	0	1
Pavag01G004400.1.v3.1	1	2	5	6	1	1	5	3	1	2	3	6	4	1	1	2	1	1	0	1	1	1	1	2	2	2	1	0	2	1	1	1	1	2	1	1	1	1	1	3	0	1	1	3	0
Pavag01G004500.1.v3.1	1	2	5	6	1	1	6	3	1	2	3	6	4	1	1	2	1	1	0	2	2	2	2	5	2	2	4	3	2	2	0	2	2	4	2	2	2	2	2	3	1	1	1	0	5
Pavag01G004600.1.v3.1	1	2	5	6	1	0	6	3	1	1	2	6	4	1	1	2	1	1	3	1	1	1	1	3	2	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	0	2	0
Pavag01G004800.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	2	2	2	1	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	0	2	0
Pavag01G004900.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	2	2	2	1	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	6
Pavag01G005000.1.v3.1	1	0	4	6	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	1	3	0	0	2	0	0	1	1	1	1	2	1	1	1	1	1	3	0	1	1	0	0
Pavag01G005200.1.v3.1	1	2	5	0	1	1	5	3	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	5	2	2	2	3	2	2	2	2	2	4	2	2	2	2	2	3	1	1	1	2	6
Pavag01G005300.1.v3.1	1	2	5	6	1	0	6	2	0	2	0	6	4	1	1	1	1	1	2	1	1	1	1	3	2	2	2	3	2	0	0	0	0	0	0	0	0	0	0	3	1	1	1	2	0
Pavag01G005700.1.v3.1	1	2	5	6	1	0	4	3	1	2	2	5	4	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0
Pavag01G005800.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	0	4	2	2	2	2	0	2	1	4	0	3	2	2	2	2	3	2	2	2	3	2	3	1	1	1	2	8
Pavag01G006000.1.v3.1	1	2	5	6	1	0	5	3	1	2	2	6	0	1	1	2	1	1	4	1	1	1	1	3	1	0	2	3	3	1	1	1	1	3	1	1	1	2	1	3	1	1	1	2	8
Pavag01G006100.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	3	1	1	2	3	3	1	1	1	1	3	1	1	1	2	1	3	1	1	1	2	8
Pavag01G006200.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	3	1	1	2	3	3	1	1	1	1	0	0	1	1	2	1	3	1	1	1	2	8
Pavag01G006300.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	0	1	1	4	3	3	2	2	2	2	4	2	2	2	3	3	3	1	1	1	3	7
Pavag01G006400.1.v3.1	1	0	5	6	1	0	2	3	1	2	2	6	4	1	1	2	1	0	4	1	1	1	1	0	1	1	2	3	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	0
Pavag01G006500.1.v3.1	1	2	5	6	1	0	6	3	1	0	0	6	4	1	1	0	1	1	4	1	1	1	1	0	0	2	2	3	2	1	1	1	1	3	1	1	1	2	2	3	1	1	1	0	0
Pavag01G006600.1.v3.1	1	2	5	6	1	0	6	3	1	0	2	6	4	1	1	1	1	1	4	1	1	1	1	0	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	0	0
Pavag01G006700.1.v3.1	1	2	5	6	1	0	6	3	1	0	2	6	4	1	1	1	1	1	4	2	2	2	2	0	2	2	4	3	0	0	0	1	1	1	1	1	1	1	0	3	1	1	1	0	8
Pavag01G007000.1.v3.1	1	2	5	6	1	0	6	3	1	2	0	6	4	1	1	0	1	1	4	1	1	1	1	0	2	2	2	3	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	4	8
Pavag01G007200.1.v3.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	2	2	0	2	0	4	0	0	2	2	2	2	4	2	2	2	3	3	3	0	0	1	4	4
Pavag01G007300.1.v3.1	1	2	0	6	1	0	4	3	1	0	2	6	4	1	1	2	1	1	3	1	1	1	1	0	0	0	2	3	2	1	1	0	1	2	1	1	1	1	1	3	1	1	1	4	0
Pavag01G007500.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	3	2	0	2	3	2	1	1	1	1	2	1	1	1	2	2	3	1	1	1	4	8
Pavag01G007600.1.v3.1	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Pavag01G007700.1.v3.1	0	0	0	0	0	0	0	1	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag01G007900.1.v3.1	1	1	4	6	1	0	6	3	1	2	2	6	4	1	1	0	1	0	2	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	3	1	1	1	3	0
Pavag01G008000.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	0	2	0	4	3	2	2	2	2	2	4	2	2	2	3	2	3	1	1	1	3	8
Pavag01G008100.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	0	1	0	4	3	2	2	2	2	2	2	2	2	2	3	2	3	1	1	1	4	7
Pavag01G008200.1.v3.1	1	2	0	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	1	1	0	4	3	2	0	0	0	0	1	0	1	0	0	1	3	1	1	1	4	0
Pavag01G008300.1.v3.1	1	2	5	6	1	1	6	3	0	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	2	0	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	4	0
Pavag01G008400.1.v3.1	1	2	5	6	1	0	6	2	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	0	2	0	4	3	2	2	2	2	2	4	2	2	2	2	2	3	1	1	0	0	0
Pavag01G008500.1.v3.1	1	2	5	6	1	1	6	2	1	2	2	6	4	0	1	2	1	1	4	0	0	0	0	0	2	2	0	0	2	1	1	1	1	2	1	1	1	1	1	3	1	0	1	0	0
Pavag01G008600.1.v3.1	1	2	4	6	1	1	6	2	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	0	4	0
Pavag01G008700.1.v3.1	1	2	5	6	1	1	6	2	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	4	0
Pavag01G008800.1.v3.1	0	2	5	6	1	0	6	2	1	2	2	0	4	1	1	2	1	1	3	1	1	1	1	0	1	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	0	4	0
Pavag01G008900.1.v3.1	1	2	0	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	0	1	2	4	3	2	2	2	2	2	4	2	2	2	2	2	3	1	1	1	4	1
Pavag01G009000.1.v3.1	1	2	5	6	1	1	5	3	1	2	2	6	4	1	1	2	1	1	4	2	2	2	2	0	1	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	4	0
Pavag01G009100.1.v3.1	1	2	3	6	1	1	6	3	1	2	2	0	4	1	1	2	1	1	2	1	1	1	1	0	2	2	2	3	2	0	1	0	0	0	0	0	0	0	0	3	1	1	0	4	0
Pavag01G009200.1.v3.1	1	2	5	6	1	1	6	3	1	0	2	4	4	1	1	2	1	1	3	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	2	3	1	1	0	3	0
Pavag01G009300.1.v3.1	1	2	5	6	1	0	6	3	1	0	2	4	4	1	1	0	1	1	3	1	1	1	1	3	2	2	2	0	2	0	0	0	0	0	0	0	0	0	1	4	1	1	1	4	0
Pavag01G009400.1.v3.1	1	2	0	0	1	1	6	3	1	0	2	5	4	1	1	2	1	1	3	2	2	2	2	0	2	2	4	0	2	2	2	2	2	4	2	2	2	2	3	4	1	1	1	4	0
Pavag01G009500.1.v3.1	1	2	5	6	1	1	6	3	1	0	2	5	4	1	1	2	1	1	4	2	2	2	2	0	2	2	4	3	2	2	2	2	2	4	2	2	2	2	3	4	1	1	1	4	0
Pavag01G009600.1.v3.1	1	2	5	6	1	0	6	3	1	0	2	5	4	1	1	2	1	1	3	0	1	0	0	0	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	4	1	1	1	4	0
Pavag01G009700.1.v3.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pavag01G009800.1.v3.1	1	2	5	6	1	1	6	3	1	0	2	5	4	1	1	2	1	1	3	2	2	2	2	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	2	4	1	1	1	2	0
Pavag01G010000.1.v3.1	1	2	5	6	1	1	6	3	0	0	2	5	4	1	1	1	1	1	3	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	2	4	1	1	0	2	0
Pavag01G010300.1.v3.1	1	2	5	6	1	1	6	3	1	0	2	6	4	1	1	0	1	1	3	1	1	1	1	3	1	2	2	3	2	1	1	1	1	2	2	1	1	1	1	4	1	1	1	3	0
Pavag01G010400.1.v3.1	1	2	2	4	1	0	6	3	1	0	2	6	4	1	1	2	1	1	3	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	2	4	1	1	1	3	0
Pavag01G010500.1.v3.1	1	2	2	6	1	0	6	3	1	0	2	6	4	1	1	2	1	1	4	2	2	0	2	0	2	2	4	3	2	1	1	1	1	2	1	1	1	1	2	0	1	1	1	3	0
Pavag01G010600.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	1	2	2	3	2	2	2	2	2	4	3	2	2	2	3	4	1	1	1	3	8
Pavag01G010800.1.v3.1	0	2	2	6	1	0	6	3	1	0	2	6	0	0	1	2	1	1	3	1	1	1	1	0	0	2	2	2	2	1	1	1	1	2	1	1	1	1	1	4	1	0	0	0	0
Pavag01G011100.1.v3.1	1	0	0	0	0	0	4	3	1	2	2	6	4	1	1	2	0	1	3	1	1	1	1	0	0	2	2	2	2	1	1	1	1	2	1	1	1	1	1	3	1	0	0	3	0
Pavag01G011200.1.v3.1	1	2	5	0	1	0	6	3	1	2	3	6	4	1	1	2	1	1	3	1	1	1	1	3	1	2	0	3	2	1	1	1	1	2	2	1	1	1	2	3	1	1	1	4	8
Pavag01G011300.1.v3.1	1	2	5	6	1	0	6	3	1	2	3	6	4	1	1	0	1	1	3	0	0	0	0	0	2	2	4	0	2	2	2	2	2	4	3	0	2	2	0	3	1	1	1	4	8
Pavag01G011400.1.v3.1	1	2	5	6	1	0	6	3	1	2	3	6	4	1	1	1	1	1	3	0	0	0	0	0	2	2	2	3	2	1	1	1	1	2	2	1	1	1	2	3	1	1	1	4	8
Pavag01G011500.1.v3.1	1	2	5	6	1	0	6	3	1	1	3	6	4	1	1	2	1	1	3	0	0	0	0	0	2	2	4	3	2	2	2	2	2	4	3	2	2	2	3	3	1	1	1	4	0
Pavag01G011600.1.v3.1	1	2	5	6	1	0	6	3	1	2	3	6	4	1	1	2	1	1	3	0	0	0	0	0	2	2	2	3	2	1	1	1	1	2	2	1	1	1	2	3	1	1	1	4	0
Pavag01G011700.1.v3.1	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	2	1	1	1	1	0	2	0	2	0	0	1	1	1	1	2	1	1	1	1	1	0	1	0	0	0	0
Pavag01G011800.1.v3.1	1	2	5	6	1	0	5	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	0	0	2	2	3	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	2	0
Pavag01G011900.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	0	0	2	2	3	2	1	1	1	0	0	0	1	1	1	1	3	1	1	1	2	0
Pavag01G012000.1.v3.1	1	2	5	6	1	1	5	3	1	2	2	6	4	1	1	2	1	1	3	2	1	2	2	0	2	2	4	3	2	1	1	1	0	2	1	1	1	1	1	3	1	1	0	3	5
Pavag01G012200.1.v3.1	1	2	4	6	1	1	6	2	1	2	2	6	4	1	1	2	1	1	3	2	2	2	2	0	2	2	4	3	2	2	0	2	2	4	3	2	2	2	2	3	1	1	1	3	8
Pavag01G012400.1.v3.1	1	2	5	6	1	0	6	2	0	2	2	6	4	0	1	2	1	1	0	0	2	0	0	0	2	2	3	3	2	2	2	2	2	4	3	2	1	2	2	3	1	1	0	4	0
Pavag01G012500.1.v3.1	1	0	4	0	1	1	0	2	1	2	2	6	4	1	1	2	1	0	0	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	0
Pavag01G012800.1.v3.1	1	2	4	3	0	0	2	0	0	2	1	2	1	0	0	0	1	0	2	1	1	1	1	3	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Pavag01G012900.1.v3.1	1	0	0	0	0	1	0	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	2	0	2	3	2	0	0	0	1	0	0	1	0	0	1	2	1	1	1	4	0
Pavag01G013000.1.v3.1	1	1	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	2	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	0
Pavag01G013200.1.v3.1	1	0	5	6	1	1	6	3	1	2	2	6	1	1	1	2	1	1	4	0	2	2	0	0	2	0	2	3	2	2	2	2	2	4	3	2	2	2	2	2	1	1	1	3	0
Pavag01G013300.1.v3.1	1	2	5	6	1	1	6	3	1	2	0	6	4	1	1	2	1	1	4	2	2	2	2	0	2	1	2	3	2	2	2	2	2	4	2	2	2	2	3	1	1	1	0	0	8
Pavag01G013400.1.v3.1	1	2	5	0	1	1	5	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	0	2	1	1	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	0	4	6
Pavag01G013600.1.v3.1	1	1	5	6	1	1	6	3	1	2	1	6	4	0	1	2	0	0	0	1	1	1	1	0	2	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	0
Pavag01G013700.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	2	2	2	2	2	0	2	1	2	3	2	1	1	1	1	2	1	2	1	1	0	2	1	1	1	4	8
Pavag01G013800.1.v3.1	1	2	5	6	1	0	4	3	1	0	0	6	4	0	1	0	1	1	4	0	0	0	0	0	2	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0
Pavag01G013900.1.v3.1	1	2	5	6	1	0	6	3	1	1	0	6	4	1	1	2	1	1	4	1	1	1	1	0	2	1	0	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	0
Pavag01G014000.1.v3.1	1	2	5	6	1	0	3	0	0	0	2	0	1	1	0	1	0	1	4	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
Pavag01G014200.1.v3.1	1	2	5	5	1	0	6	3	1	1	2	6	4	1	1	1	0	1	3	1	1	1	1	3	2	2	1	0	2	1	1	1	1	2	1	1	1	1	2	2	1	1	0	4	8
Pavag01G014400.1.v3.1	1	2	5	6	1	1	6	3	1	1	2	6	4	2	1	2	1	0	3	1	1	1	1	0	2	2	1	3	2	1	1	1	0	2	1	1	1	1	1	2	1	1	1	4	8
Pavag01G014500.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	3	2	2	1	3	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	4	7
Pavag01G014600.1.v3.1	1	2	5	6	1	1	6	0	1	2	2	0	4	1	1	2	1	1	4	0	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	8
Pavag01G014800.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	3	1	1	1	1	0	2	2	1	3	2	1	1	1	1	2	1	1	1	1	1	0	1	1	1	3	8
Pavag01G014900.1.v3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	0	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0
Pavag01G015000.1.v3.1	1	0	5	6	1	0	6	3	1	2	2	0	0	1	1	2	1	0	4	1	1	1	1	0	0	2	2	3	2	1	1	1	1	2	0	1	0	1	1	2	1	0	0	4	0
Pavag01G015100.1.v3.1	1	2	5	6	1	1	6	3	1	2	1	6	4	1	1	2	1	1	4	1	1	1	1	0	1	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	3	8
Pavag01G015200.1.v3.1	1	2	4	6	1	1	6	3	1	2	2	6	4	2	1	2	1	1	4	1	1	1	1	0	2	2	2	3	3	0	0	0	1	0	0	1	0	0	1	2	1	1	1	0	8
Pavag01G015300.1.v3.1	1	2	5	6	1	0	6	3	1	2	2	6	4	2	1	2	1	1	4	1	2	1	1	0	2	2	4	3	3	2	2	2	2	4	2	2	2	2	2	2	0	0	0	3	0
Pavag01G015400.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	2	1	2	1	1	3	1	1	1	1	2	1	2	2	3	3	1	1	1	1	2	1	1	1	1	1	2	1	0	1	3	0
Pavag01G015600.1.v3.1	1	2	0	6	1	0	6	3	1	1	0	6	4	0	1	2	1	1	3	2	2	2	2	0	2	0	0	0	3	1	1	1	1	2	1	1	1	1	1	2	1	1	0	3	0
Pavag01G016000.1.v3.1	0	2	3	3	0	0	6	1	0	2	2	5	0	1	1	2	1	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0
Pavag01G016400.1.v3.1	1	2	5	0	1	1	0	3	1	2	1	6	4	1	1	2	1	1	2	1	1	1	1	2	2	2	2	0	2	1	1	1	1	2	1	1	1	1	1	2	1	2	0	2	8
Pavag01G016500.1.v3.1	1	2	5	0	1	1	0	3	1	2	1	6	4	1	1	2	1	1	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	8
Pavag01G016700.1.v3.1	0	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	0	2	2	2	2	0	2	2	4	3	2	2	2	2	2	4	2	2	2	2	2	2	1	2	0	4	0
Pavag01G016800.1.v3.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pavag01G017100.1.v3.1	1	2	5	3	1	1	3	3	1	1	2	6	4	0	1	2	1	1	3	1	1	1	1	2	0	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	0	0
Pavag01G017200.1.v3.1	1	2	5	6	0	1	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	2	0	2	1	3	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	0	8
Pavag01G017400.1.v3.1	1	2	5	6	1	1	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	0	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	2	1	4	8
Pavag01G017500.1.v3.1	1	2	0	0	1	0	6	3	1	2	2	6	4	1	1	2	1	1	4	1	1	1	1	0	0	2	2	3	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	8
