fasta_entry	superfamily
Kolobok-1_AA	Kolobok
Kolobok-1_Ppac	Kolobok
Kolobok1-1_SP	Kolobok
Kolobok-2_Aplcal	Kolobok
Kolobok-1_Aplcal	Kolobok
Kolobok-1_NVi	Kolobok
Kolobok-19_HMa	Kolobok
Kolobok-1_NV	Kolobok
Kolobok-1_DR	Kolobok
Kolobok-1_CS	Kolobok
Kolobok-1_XT	Kolobok
Kolobok-2_TV	Kolobok
Kolobok-1_NaeGru	Kolobok
Kolobok-1_TV	Kolobok
Kolobok-3_TV	Kolobok
MERLIN1_SM	Merlin
MERLIN4_SM	Merlin
Merlin10_SM	Merlin
Merlin5_SM	Merlin
Merlin1_CB	Merlin
Merlin-1_Psojae	Merlin
Merlin-1_Smo	Merlin
Merlin-1_Hrobusta	Merlin
Merlin-1_Aplcal	Merlin
Merlin1_CI	Merlin
Merlin-1_Roryzae	Merlin
Merlin-4_Roryzae	Merlin
MULE1_EI	MULE
MuDR1_TP	MULE
MuDR1_SM	MULE
MuDR-3_TV	MULE
MuDR-6_TV	MULE
MuDr-1_TV	MULE
MuDR7x_AP	MULE
MuDR2x_SM	MULE
MuDR4x_SM	MULE
MuDR1x_SM	MULE
MuDr-1x_AP	MULE
MUDR	MULE
Mudr5_OS	MULE
MuDR-8_SBi	MULE
ATMU3	MULE
MuDR-12_VV	MULE
MuDR4_SM	MULE
MuDR-6_VV	MULE
MUDRAVI2	MULE
MDR2	MULE
MuDR2_OS	MULE
MuDR-3_SBi	MULE
MuDR-9_SBi	MULE
VANDAL14	MULE
CUMULE	MULE
MULE-2_Cglob	MULE
MULE-1_Cglob	MULE
Hop	MULE
MuDR-4_SBi	MULE
MuDR-8_ZM	MULE
MuDR-6_SBi	MULE
MuDR-5_OS	MULE
Jittery	MULE
MUMET1	MULE
MUJITOS2	MULE
MULE-1_CapOwc	MULE
Rehavkus-3_TC	MULE
Rehavkus-1_HR	MULE
Rehavkus-1_TC	MULE
Rehavkus-2_NVi	MULE
Rehavkus-1_DY	MULE
Rehavkus1_AP	MULE
Novosib-1_EmiHux	Novosib
Novosib-6_CR	Novosib
Novosib-5_CR	Novosib
Novosib-3_CR	Novosib
Novosib-1_CR	Novosib
P-1_TV	P
P-2_TV	P
P3_AG	P
P_DM_Q7M3K2	P
P-2_HM	P
P1_Cis	P
P-1_AP	P
P-1_Aplcal	P
P-32_HM	P
P-3_AP	P
P-15_HM	P
PROTOP	P
Galileo_DB	P
P-7_HM	P
P-3_Hrobusta	P
P-6_HM	P
P-3_HM	P
P-1_AllMac	P
P-1_AurAno	P
P-1_CR	P
P-2_CR	P
IS4EU-1_AA	PIF/Harbinger
IS4EU-2_DR	PIF/Harbinger
ISL2EU-5_HM	PIF/Harbinger
ISL2EU-4_HM	PIF/Harbinger
ISL2EU-2_CS	PIF/Harbinger
IS4EU-1_NV	PIF/Harbinger
PIF_Harbinger-2_PleOst	PIF/Harbinger
PIF_Harbinger-2_EmiHux	PIF/Harbinger
PIF_Harbinger-1_Ngru	PIF/Harbinger
PIF_Harbinger-1_AllMac	PIF/Harbinger
PIF_Harbinger-1_PleOst	PIF/Harbinger
Harbinger1_TP	PIF/Harbinger
PIF_Harbinger-1_PB	PIF/Harbinger
PIF_Harbinger-1_EmiHux	PIF/Harbinger
PIF_Harbinger-1_TV	PIF/Harbinger
PIF_Harbinger-1_TreMes	PIF/Harbinger
PIF_Harbinger-2_Mlaricis	PIF/Harbinger
PIF_Harbinger-1_CryNeo	PIF/Harbinger
HARB-4A_SBi	PIF/Harbinger
ATIS112A	PIF/Harbinger
TURMOIL1	PIF/Harbinger
TURMOIL2	PIF/Harbinger
HARBINGER1_AG	PIF/Harbinger
Harbinger-1_BF	PIF/Harbinger
Harbinger1_DYa	PIF/Harbinger
HARB4_ZM	PIF/Harbinger
Harbinger3_TP	PIF/Harbinger
PIF_Harbinger-1_Smoe	PIF/Harbinger
HARBINGER1_DR	PIF/Harbinger
PIF_Harbinger-2_PI	PIF/Harbinger
PIF_Harbinger-3_PI	PIF/Harbinger
PIF_Harbinger-4_PI	PIF/Harbinger
Harbinger3_DR	PIF/Harbinger
PiggyBac-3_PI	PiggyBac
LEAPFROG1_EI	PiggyBac
PiggyBac-1_Mcir	PiggyBac
PiggyBac-1_FO	PiggyBac
PiggyBac-1_PI	PiggyBac
piggyBac-8_SM	PiggyBac
piggyBac-6_SM	PiggyBac
POKEY_DP	PiggyBac
piggyBac-5_SM	PiggyBac
piggyBac-1_XT	PiggyBac
PiggyBac-3_HM	PiggyBac
piggyBac-4_SM	PiggyBac
piggyBac-3_SM	PiggyBac
piggyBac-3_NV	PiggyBac
piggyBac1_CI	PiggyBac
piggyBac-2_SM	PiggyBac
piggyBac-2_NV	PiggyBac
piggyBac-1_NV	PiggyBac
piggyBac-1_SM	PiggyBac
PiggyBac-1_FraCyl	PiggyBac
PiggyBac-1_EmiHux	PiggyBac
PiggyBac-1_PhaTri	PiggyBac
Sola1-2_Psojae	Sola1
Sola1-2_AA	Sola1
Sola1-3_Lgigantea	Sola1
Sola1-2_AP	Sola1
Sola1-1_CS	Sola1
Sola1-1_BM	Sola1
Sola1-1_AC	Sola1
Sola1-7_AP	Sola1
Sola1-9_AP	Sola1
Sola1-1_HM	Sola1
Sola1-1_AA	Sola1
Sola1-8_AP	Sola1
Sola1-1_Dpulex	Sola1
Sola1-1_PP	Sola1
Sola1-1_FraCyl	Sola1
Sola1-1_PI	Sola1
Sola1-1_MonBre	Sola1
Sola1-1_CapTel	Sola1
Sola2-2_NVi	Sola2
Sola2-1_NV	Sola2
Sola2-1_AC	Sola2
Sola2-2_HM	Sola2
Sola2-3_SP	Sola2
Sola2-1_AA	Sola2
Sola2-1_BM	Sola2
Sola2-1_Hrobusta	Sola2
Sola3-1_CapOwc	Sola3
Sola3-1_EmiHux	Sola3
Sola3-2_PS	Sola3
Sola3-1_AA	Sola3
Sola3-4_HM	Sola3
Sola3-1_BF	Sola3
GIZMO1_EI	Tc1/mariner
TBE1	Tc1/mariner
Mariner-25_SM	Tc1/mariner
Tec-1	Tc1/mariner
Mariner-6_SM	Tc1/mariner
Mariner-10_HM	Tc1/mariner
Mariner-3_AN	Tc1/mariner
ATHPOGO	Tc1/mariner
SMAR25	Tc1/mariner
Tigger1	Tc1/mariner
pogo	Tc1/mariner
Mariner-18_HM	Tc1/mariner
Pogo_SM	Tc1/mariner
SMAR6	Tc1/mariner
Mariner-1_SP	Tc1/mariner
CIRT2_CA	Tc1/mariner
Mariner-1_AF	Tc1/mariner
FOTYL	Tc1/mariner
Fot1	Tc1/mariner
SMAR24	Tc1/mariner
GEMINI1_EI	Tc1/mariner
Soymar1	Tc1/mariner
OSMAR1	Tc1/mariner
SMAR27	Tc1/mariner
MAR1_TV	Tc1/mariner
Mariner-16_HM	Tc1/mariner
Mos1	Tc1/mariner
AVMAR1	Tc1/mariner
impala	Tc1/mariner
AMARI	Tc1/mariner
Tc1-2Xt	Tc1/mariner
minos	Tc1/mariner
Tc3	Tc1/mariner
Tc1	Tc1/mariner
Tc1-1_AG	Tc1/mariner
MARINCE1	Tc1/mariner
PrD37D	Tc1/mariner
VENSMAR1	Tc1/mariner
Bmmar1	Tc1/mariner
Transib-1_HM	Transib
Transib-10_HM	Transib
Transib1_AA	Transib
Transib-11_HM	Transib
Zator-1_BF	Zator
Zator-2_AA	Zator
Zator-4_HM	Zator
Zator-1_Ngru	Zator
