V2	haploid	species	speciesLabel	ploidy	flow	rawAssemblySize	haploidAssemblySize	rawRepeatSize	haploidRepeatSize	rawNCount	haploidNCount	gc
zdmomo	TRUE	Zea diploperennis Momo	Zea diploperennis Momo*	Paleotetraploid	NA	2506284254	2506284254	2079935113	2079935113	16900	16900	0.458437812776138
zluxur	TRUE	Zea luxurians	Zea luxurians*	Paleotetraploid	NA	3150844864	3150844864	2658726801	2658726801	48166951	48166951	0.465852920131965
zmhuet	TRUE	Zea mays ssp. huehuetengensis	Zea mays ssp. huehuetengensis*	Paleotetraploid	NA	2402411828	2402411828	1987543053	1987543053	7200	7200	0.467201574588375
zTIL18	TRUE	Zea mays ssp. mexicana TIL18	Zea mays ssp. mexicana TIL18*	Paleotetraploid	NA	2493693889	2493693889	2081999391	2081999391	10150133	10150133	0.462284135411867
zTIL25	TRUE	Zea mays ssp. mexicana TIL25	Zea mays ssp. mexicana TIL25*	Paleotetraploid	NA	2112331795	2112331795	1722707510	1722707510	2089710	2089710	0.468134242996106
zTIL01	TRUE	Zea mays ssp. parviglumis TIL01	Zea mays ssp. parviglumis TIL01*	Paleotetraploid	NA	2616784337	2616784337	2163514042	2163514042	8995690	8995690	0.462571792536836
zTIL11	TRUE	Zea mays ssp. parviglumis TIL11	Zea mays ssp. parviglumis TIL11*	Paleotetraploid	NA	2391374462	2391374462	1950381768	1950381768	5514720	5514720	0.465446675029231
znicar	TRUE	Zea nicaraguensis	Zea nicaraguensis*	Paleotetraploid	NA	3655684935	3655684935	3411190476	3411190476	32500	32500	0.465340709010812
sbicol	TRUE	Sorghum bicolor	Sorghum bicolor*	Diploid	NA	708735318	708735318	466525335	466525335	33371430	33371430	0.438815271686543
zmB735	TRUE	Zea mays ssp. mays B73v5	Zea mays ssp. mays B73v5*	Paleotetraploid	NA	2182075994	2182075994	1738376924	1738376924	3807886	3807886	0.467703063391681
